STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,35740,0,1360
1,AL,35741,0,1460
1,AL,35744,0,920
1,AL,35746,0,350
1,AL,35747,0,2350
1,AL,35748,0,3010
1,AL,35749,0,10920
1,AL,35750,0,5840
1,AL,35752,0,840
1,AL,35754,0,2140
1,AL,35755,0,270
1,AL,35756,0,6810
1,AL,35757,0,7070
1,AL,35758,0,20930
1,AL,35759,0,3850
1,AL,35760,0,2060
1,AL,35761,0,5100
1,AL,35763,0,7520
1,AL,35764,0,240
1,AL,35765,0,1460
1,AL,35768,0,4790
1,AL,35769,0,4150
1,AL,35771,0,1370
1,AL,35772,0,1870
1,AL,35773,0,5400
1,AL,35775,0,270
1,AL,35776,0,1390
1,AL,35801,0,10120
1,AL,35802,0,11130
1,AL,35803,0,13060
1,AL,35805,0,8870
1,AL,35806,0,10890
1,AL,35808,0,410
1,AL,35810,0,13530
1,AL,35811,0,12510
1,AL,35816,0,5870
1,AL,35824,0,3850
1,AL,35901,0,7420
1,AL,35903,0,7210
1,AL,35904,0,5210
1,AL,35905,0,2660
1,AL,35906,0,4490
1,AL,35907,0,3750
1,AL,35950,0,8910
1,AL,35951,0,5030
1,AL,35952,0,2670
1,AL,35953,0,2960
1,AL,35954,0,4700
1,AL,35956,0,3390
1,AL,35957,0,6400
1,AL,35958,0,1170
1,AL,35959,0,1730
1,AL,35960,0,3610
1,AL,35961,0,2250
1,AL,35962,0,2620
1,AL,35963,0,600
1,AL,35966,0,1310
1,AL,35967,0,6100
1,AL,35968,0,2230
1,AL,35971,0,1740
1,AL,35972,0,480
1,AL,35973,0,1000
1,AL,35974,0,740
1,AL,35975,0,370
1,AL,35976,0,6970
1,AL,35978,0,2020
1,AL,35979,0,540
1,AL,35980,0,1810
1,AL,35981,0,810
1,AL,35983,0,1380
1,AL,35984,0,760
1,AL,35986,0,3090
1,AL,35987,0,960
1,AL,35988,0,680
1,AL,35989,0,1230
1,AL,36003,0,790
1,AL,36005,0,660
1,AL,36006,0,570
1,AL,36009,0,1040
1,AL,36010,0,2100
1,AL,36013,0,210
1,AL,36016,0,1240
1,AL,36017,0,590
1,AL,36020,0,510
1,AL,36022,0,5650
1,AL,36024,0,2540
1,AL,36025,0,1630
1,AL,36026,0,400
1,AL,36027,0,6120
1,AL,36028,0,710
1,AL,36029,0,390
1,AL,36030,0,180
1,AL,36032,0,1040
1,AL,36033,0,1540
1,AL,36034,0,310
1,AL,36035,0,800
1,AL,36036,0,820
1,AL,36037,0,5550
1,AL,36039,0,100
1,AL,36040,0,1600
1,AL,36041,0,570
1,AL,36042,0,550
1,AL,36043,0,1670
1,AL,36046,0,580
1,AL,36047,0,600
1,AL,36048,0,570
1,AL,36049,0,2260
1,AL,36051,0,930
1,AL,36052,0,400
1,AL,36053,0,800
